StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participant ID,MLQ_1,MLQ_2,MLQ_3,MLQ_4,MLQ_5,MLQ_6,MLQ_7,MLQ_8,MLQ_9,MLQ_10,MLQ_DO,AWE_1,AWE_2,AWE_3,AWE_4,AWE_5,AWE_6,AWE_7,AWE_8,AWE_9,AWE_10,AWE_11,AWE_12,AWE_13,AWE_14,AWE_15,AWE_DO,Qualitative1,Age,Psychedelic,Gender,ReligiousScale,FL_10_DO,Demographics_DO
2022-08-11 11:15:50,2022-08-11 11:26:33,0,67.168.36.12,100,642,1,2022-08-11 11:26:33,R_3MtCNkyV7gHIhRT,,,,,47.617,-117.361,anonymous,EN,185521080,,,,,,,,,,,,3,3,2,4,4,5,5,5,5,5,3,3,2,4,3,10|8|4|1|6|11|9|14|7|2|13|15|3|5|12,"At first, I kind of just marveled at the beauty of the visual display, and then I started to tinker with the speeds, rotation, and trajectory. Most of the experience, I found myself kind of engaged with the display in the sense that I was kind of ""travelling"" through it - I was making an almost unconscious effort to direct my trajectory towards the blank spaces, where the lights were around the edges of the screen, rather than travel into the lights themselves. I did feel pretty peaceful and mindful during the display.",30,1,3,33,AweExperienceScale,Gender|ReligiousScale|Age|Psychedelic
2022-08-15 12:07:47,2022-08-15 12:10:19,0,73.131.133.185,100,152,1,2022-08-15 12:10:19,R_2UYjsHmx0axHFcq,,,,,33.058,-80.0101,anonymous,EN,191581657,6,2,2,6,6,6,2,2,2,2,6|2|5|8|3|9|7|10|1|4,,,,,,,,,,,,,,,,,"I was thinking the designs look cool. Also I was thinking it looks similar to how others have describe drug trips, but I don't take drugs. I was also wondering when it would end. I was trying to travel through the holes in the designs and decided not to make the movement too crazy in terms of speed/rotation because it made me feel uneasy.",33,2,1,0,MLQ,Age|Gender|ReligiousScale|Psychedelic
2022-08-15 12:22:56,2022-08-15 12:25:29,0,71.218.153.234,100,152,1,2022-08-15 12:25:29,R_SPD5VY1MbpsM5r3,,,,,39.5407,-104.9708,anonymous,EN,129274607,,,,,,,,,,,,6,6,5,6,6,6,5,6,5,5,6,5,4,5,6,13|12|14|2|9|4|7|11|10|8|15|5|3|6|1,"I felt somewhat dizzy and had to look away from the screen a few times to regain myself. ",39,2,1,100,AweExperienceScale,Gender|Psychedelic|Age|ReligiousScale
2022-08-15 12:32:33,2022-08-15 12:35:13,0,74.101.50.129,100,160,1,2022-08-15 12:35:13,R_3KrcXC7wG8tG4VQ,,,,,40.7597,-73.981,anonymous,EN,183522776,,,,,,,,,,,,3,3,3,3,3,1,1,1,1,1,2,1,1,2,2,15|6|5|11|1|8|12|7|14|9|2|3|13|10|4,"At first, it felt relaxing to be a part of the exercise but, over time, I became distracted and wondered if I was doing something wrong as it took longer than I was expecting and I had no idea if I was stuck in some endless loop. That took me out of the exercise to some extent - but overall it was still quite pleasureable.",52,2,1,0,AweExperienceScale,Psychedelic|Age|Gender|ReligiousScale
2022-08-15 13:47:05,2022-08-15 13:48:18,0,100.15.13.235,100,73,1,2022-08-15 13:48:19,R_33rJP3tN1D8NXgj,,,,,38.6273,-76.9859,anonymous,EN,104528162,3,5,5,3,3,3,5,5,5,5,4|10|1|8|7|5|2|9|6|3,,,,,,,,,,,,,,,,,I felt sick at times because of the spinning and colors. It was kind of cool to pretend to be a ship flying in space. But most of the time I was trying not to throw up.,28,1,1,3,MLQ,ReligiousScale|Age|Gender|Psychedelic
2022-08-15 14:56:39,2022-08-15 15:01:02,0,12.205.151.33,100,262,1,2022-08-15 15:01:02,R_3kIgpoMZtvik4yb,,,,,37.7809,-122.4245,anonymous,EN,164755787,,,,,,,,,,,,5,4,6,6,5,5,4,6,4,4,6,6,4,6,6,5|14|9|6|2|1|4|11|3|8|10|7|13|15|12,"i was immerse and synced into another dimension as thoughts flies around ",37,2,2,100,AweExperienceScale,ReligiousScale|Psychedelic|Gender|Age
2022-08-16 11:49:36,2022-08-16 11:52:14,0,76.187.65.25,100,157,1,2022-08-16 11:52:15,R_YVzb2eTY7RD7Iad,,,,,33.1494,-96.828,anonymous,EN,103031816,4,5,5,4,6,5,4,5,3,5,6|2|3|5|7|8|10|4|1|9,,,,,,,,,,,,,,,,,"For me I had a sense of exploration and wonder. I felt relaxed and had a fun seeking mood. I had a sense of vastness and intrigue ",37,1,1,0,MLQ,ReligiousScale|Age|Gender|Psychedelic
2022-08-16 12:00:10,2022-08-16 12:04:46,0,107.5.54.11,100,276,1,2022-08-16 12:04:46,R_yNG4QYXSwbsvwDD,,,,,42.6426,-84.5221,anonymous,EN,119182080,,,,,,,,,,,,6,7,7,7,7,6,6,6,6,6,2,2,2,1,2,1|4|10|7|8|5|14|11|2|12|6|9|13|3|15,"It was entrancing, and hypnotic. Time seemed to go slow, and it felt like I was going through some kind of dimensional space.",42,2,1,0,AweExperienceScale,Psychedelic|Age|ReligiousScale|Gender
2022-08-16 12:03:15,2022-08-16 12:06:58,0,172.58.153.235,100,223,1,2022-08-16 12:06:58,R_3MyCQRDmhJFzmJn,,,,,35.2296,-80.843,anonymous,EN,121475818,6,2,2,6,6,6,2,7,2,2,8|6|5|2|7|10|3|1|4|9,,,,,,,,,,,,,,,,,"a little boring actually and the radio buttons and this edit box are not really working correctly.
a",61,2,1,100,MLQ,Gender|Psychedelic|Age|ReligiousScale
2022-08-16 15:46:28,2022-08-16 15:49:22,0,35.133.63.241,100,173,1,2022-08-16 15:49:22,R_27NYN9OYPPoIuyg,,,,,39.1032,-108.5495,anonymous,EN,126204974,3,5,5,4,4,4,5,5,4,5,3|10|6|7|5|1|8|2|9|4,,,,,,,,,,,,,,,,," I was just trying to fly around in the environment and look at the various shapes and colors",46,4,2,50,MLQ,ReligiousScale|Gender|Age|Psychedelic
2022-08-16 16:20:23,2022-08-16 16:23:14,0,50.81.153.26,100,170,1,2022-08-16 16:23:14,R_10ZUpJduOVJHfth,,,,,41.6244,-93.6694,anonymous,EN,165062592,,,,,,,,,,,,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,11|4|5|8|9|13|10|7|6|2|15|3|14|12|1,A pleasantly serene sense of falling through space and some impatience over not knowing exactly what was happening.,48,2,1,1,AweExperienceScale,ReligiousScale|Gender|Psychedelic|Age
2022-08-16 18:31:57,2022-08-16 18:34:52,0,107.180.134.27,100,175,1,2022-08-16 18:34:52,R_a5lww90Q65NuLfz,,,,,39.0469,-77.4903,anonymous,EN,169588657,,,,,,,,,,,,6,5,6,6,6,5,6,5,7,5,7,6,5,6,7,14|15|5|8|7|2|12|11|3|13|4|10|9|1|6,this visual was great to play my feelings about this was good to play,32,2,2,88,AweExperienceScale,Age|Gender|ReligiousScale|Psychedelic
2022-08-11 10:35:12,2022-08-11 10:35:37,0,76.250.217.35,22,25,0,2022-08-18 10:35:41,R_1jNxVNhppAPVXsW,,,,,,,anonymous,EN,159929873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AweExperienceScale,
2022-08-11 10:33:35,2022-08-11 10:39:32,0,73.182.126.43,89,357,0,2022-08-18 10:39:35,R_1LksXRO5Z4dUEmN,,,,,,,anonymous,EN,142795569,,,,,,,,,,,,6,6,5,5,6,3,6,6,5,4,5,3,5,6,5,15|14|2|4|7|1|10|13|9|5|3|6|12|8|11,feeling of open universe,53,2,1,50,AweExperienceScale,ReligiousScale|Psychedelic|Gender|Age
2022-08-19 10:02:10,2022-08-19 10:04:18,0,68.202.112.115,100,127,1,2022-08-19 10:04:18,R_3Mbrt3PRl9yyScT,,,,,28.9107,-81.1957,anonymous,EN,129690824,7,7,7,6,6,7,6,6,1,6,3|2|1|6|9|7|4|5|10|8,,,,,,,,,,,,,,,,,relaxed and calm,50,2,2,100,MLQ,Psychedelic|Gender|ReligiousScale|Age
2022-08-19 10:06:12,2022-08-19 10:07:57,0,98.144.31.102,100,104,1,2022-08-19 10:07:57,R_3KwSfuJ4UfneEP9,,,,,42.9896,-88.0876,anonymous,EN,178642731,3,4,4,1,5,1,4,4,7,4,9|3|4|5|8|10|1|7|2|6,,,,,,,,,,,,,,,,,I felt like I was ant-man as he was shrinking. This reminds me of the sub-atomic universe he got trapped in.,37,2,1,0,MLQ,Psychedelic|Gender|ReligiousScale|Age
2022-08-19 17:51:19,2022-08-19 17:57:03,0,73.248.156.120,100,343,1,2022-08-19 17:57:03,R_1FfWmHRPjth5jqr,,,,,40.7886,-74.1634,anonymous,EN,107939863,,,,,,,,,,,,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,1|7|4|3|14|6|11|12|9|10|8|13|5|15|2,"I felt memorized and connected to something greater than myself. I felt part of a more significant whole, connected to nature and to the universe. It was also a sense of relinquishing control.",35,2,2,77,AweExperienceScale,Psychedelic|Age|ReligiousScale|Gender
2022-08-19 18:09:53,2022-08-19 18:11:40,0,165.225.39.118,100,106,1,2022-08-19 18:11:40,R_PBYuuLoXefa142Z,,,,,40.6368,-74.3727,anonymous,EN,119803467,4,4,4,4,4,4,4,4,3,4,7|9|2|6|10|3|8|4|5|1,,,,,,,,,,,,,,,,,"It was fun to go through for a bit. Then it was dizzying and at times, I could not really focus on it since it gave me a slight headache. After a while, it was too long and boring.",38,2,1,5,MLQ,Age|ReligiousScale|Gender|Psychedelic
