StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ParticipantID,MLQ_1,MLQ_2,MLQ_3,MLQ_4,MLQ_5,MLQ_6,MLQ_7,MLQ_8,MLQ_9,MLQ_10,MLQ_DO,AWE_1,AWE_2,AWE_3,AWE_4,AWE_5,AWE_6,AWE_7,AWE_8,AWE_9,AWE_10,AWE_11,AWE_12,AWE_13,AWE_14,AWE_15,AWE_DO,Qualitative,Age,Psychedelic,Gender,ReligiousScale,FL_10_DO,Demographics_DO
2022-08-11 10:44:01,2022-08-11 10:48:36,0,199.114.218.109,100,274,1,2022-08-11 10:48:36,R_1K2MLQeX3NfVVoD,,,,,40.1104,-83.1131,anonymous,EN,146319388,,,,,,,,,,,,5,3,3,3,5,2,2,2,3,3,5,5,5,5,5,9|1|14|13|6|15|11|7|10|5|3|2|4|8|12,I felt like i was in a space where everything was together and closely related.,32,2,1,80,AweExperienceScale,ReligiousScale|Psychedelic|Gender|Age
2022-08-11 10:50:33,2022-08-11 10:53:17,0,74.126.160.124,100,163,1,2022-08-11 10:53:17,R_3JgG08k31FOu6a8,,,,,34.6506,-88.2176,anonymous,EN,113601121,7,7,7,7,7,7,7,7,1,7,7|4|3|5|9|6|1|8|2|10,,,,,,,,,,,,,,,,,"I felt like I was a tailgunner on a spaceship, then I felt like I was looking down as rain was falling, then I thought of cities from a satellite, then I thought of ping pong balls, when it went dark I was afraid something would jump scare me and it reminded me of bad jump scares I had experienced in the past. ",42,1,1,100,MLQ,ReligiousScale|Age|Psychedelic|Gender
2022-08-11 10:45:17,2022-08-11 10:54:40,0,76.134.84.181,100,563,1,2022-08-11 10:54:41,R_2rqi480yg8AMLPY,,,,,34.6066,-92.4904,anonymous,EN,151153568,6,6,5,6,7,5,7,7,6,6,9|3|1|4|8|7|10|2|6|5,,,,,,,,,,,,,,,,,"I felt relaxed. I was calm, thinking postive about my life",28,2,1,100,MLQ,Psychedelic|Gender|Age|ReligiousScale
2022-08-11 10:51:34,2022-08-11 10:56:28,0,161.35.139.69,100,294,1,2022-08-11 10:56:29,R_rj15RhdpzXJwM0h,,,,,40.8364,-74.1403,anonymous,EN,173690355,,,,,,,,,,,,5,5,3,5,3,7,7,6,7,6,4,4,4,4,4,3|7|14|15|12|10|5|4|9|6|2|8|13|1|11,I felt like I was floating in a vast space.,30,2,1,100,AweExperienceScale,ReligiousScale|Psychedelic|Age|Gender
2022-08-11 10:55:17,2022-08-11 10:58:57,0,73.82.138.252,100,219,1,2022-08-11 10:58:57,R_1H6qakElVEroUTn,,,,,33.9372,-84.0791,anonymous,EN,105413863,7,4,4,7,7,7,4,4,1,4,4|8|2|3|1|6|9|7|10|5,,,,,,,,,,,,,,,,,"It was a little disorienting at first but It made me feel like I was watching space going by and it made me feel like I was insignificant  and a part of every thing at the same time. ",52,2,2,100,MLQ,ReligiousScale|Gender|Age|Psychedelic
2022-08-11 10:37:48,2022-08-11 10:59:10,0,208.218.225.172,100,1281,1,2022-08-11 10:59:10,R_2zVg7umnMVnRohq,,,,,37.9186,-121.3132,anonymous,EN,158124502,,,,,,,,,,,,6,7,7,7,6,6,7,7,7,6,7,7,6,7,6,8|6|11|5|9|3|15|14|1|4|2|10|12|13|7,i enjoy this task.,,2,1,85,AweExperienceScale,Psychedelic|ReligiousScale|Age|Gender
2022-08-11 10:58:37,2022-08-11 10:59:28,0,75.177.118.157,100,50,1,2022-08-11 10:59:29,R_1PYTOeArpVmNZQe,,,,,36.5002,-80.6163,anonymous,EN,135264645,7,1,1,7,7,7,1,1,1,1,2|3|6|10|8|5|4|7|9|1,,,,,,,,,,,,,,,,,I felt calm and relaxed.,41,2,2,100,MLQ,Age|Gender|ReligiousScale|Psychedelic
2022-08-11 10:57:55,2022-08-11 11:03:04,0,216.223.211.175,100,309,1,2022-08-11 11:03:05,R_2yqQzxjt10BhgF1,,,,,34.0555,-78.9184,anonymous,EN,142832554,,,,,,,,,,,,5,3,3,3,5,3,2,2,2,3,2,4,3,4,3,12|1|6|5|7|15|2|10|4|13|3|8|14|11|9,142832554,51,1,2,50,AweExperienceScale,Age|Gender|Psychedelic|ReligiousScale
2022-08-11 11:04:18,2022-08-11 11:10:44,0,69.251.109.200,100,386,1,2022-08-11 11:10:44,R_zZ3oCo6aCQjBtND,,,,,38.5956,-76.9908,anonymous,EN,124300306,,,,,,,,,,,,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7|1|6|5|9|11|14|15|4|12|3|10|8|13|2,I felt awe and mesmerized with the experience.,25,2,2,100,AweExperienceScale,Psychedelic|ReligiousScale|Gender|Age
2022-08-11 11:14:07,2022-08-11 11:17:08,0,47.208.75.161,100,181,1,2022-08-11 11:17:09,R_22XlCKPKE9RlI4Z,,,,,40.7977,-124.1565,anonymous,EN,152521557,6,1,1,6,7,6,1,1,1,1,10|6|9|8|3|7|5|4|2|1,,,,,,,,,,,,,,,,,I felt nausea at first and then I leaned into it a bit and felt fairly relaxed. Focused deeper into it. I reached some point of having a blank mind.,51,1,1,1,MLQ,Gender|Age|Psychedelic|ReligiousScale
2022-08-11 11:39:58,2022-08-11 11:42:43,0,76.208.34.223,100,165,1,2022-08-11 11:42:44,R_1EgokgIcvr80A31,,,,,30.6552,-93.8964,anonymous,EN,174093386,,,,,,,,,,,,4,5,5,5,5,3,2,3,2,3,2,2,2,1,2,12|14|5|9|3|15|8|1|13|10|7|4|2|11|6,"I felt it did alter my perception of time a little, but I didn't really derive any strong feelings from the experience.",43,2,1,90,AweExperienceScale,Age|ReligiousScale|Psychedelic|Gender
2022-08-15 13:14:32,2022-08-15 13:18:27,0,71.60.67.237,100,235,1,2022-08-15 13:18:28,R_2QoInIIrDoMJYaw,,,,,41.0266,-80.3498,anonymous,EN,120742369,,,,,,,,,,,,5,5,5,5,5,3,3,3,3,4,4,3,3,4,4,13|7|15|6|8|14|5|11|1|12|9|3|2|10|4,I felt like I was driting along in the universe.,63,2,1,5,AweExperienceScale,Gender|Age|ReligiousScale|Psychedelic
2022-08-15 13:28:00,2022-08-15 13:32:48,0,167.224.165.133,100,287,1,2022-08-15 13:32:48,R_1fcMLaTCyyX5ZGG,,,,,36.1835,-94.1762,anonymous,EN,138710256,2,7,7,2,2,2,7,7,6,7,8|10|7|1|5|3|4|2|6|9,,,,,,,,,,,,,,,,,"I found myself reaching out into the inner depths within my being. It felt as though I was on an adventure, searching for something that gives greater meaning to who I am. I felt as though I was being freed from the constraints in life and being allowed to delve into the greater expanse of the universe within.",40,2,1,50,MLQ,Gender|Psychedelic|ReligiousScale|Age
2022-08-15 14:08:35,2022-08-15 14:16:19,0,102.129.224.2,100,464,1,2022-08-15 14:16:20,R_2zSyOdX7VXRFwPq,,,,,37.7906,-122.2412,anonymous,EN,140053541,,,,,,,,,,,,5,5,6,5,6,6,6,4,5,6,6,6,5,6,6,13|7|14|9|10|2|5|3|11|8|12|1|6|15|4,"explorative, investigative",24,2,1,100,AweExperienceScale,Gender|ReligiousScale|Age|Psychedelic
2022-08-16 12:02:03,2022-08-16 12:05:56,0,72.218.169.198,100,233,1,2022-08-16 12:05:57,R_AAGuB9sqRQYOAoN,,,,,36.8001,-76.3288,anonymous,EN,185664531,6,7,7,6,6,7,7,7,1,7,4|6|9|1|2|3|8|5|10|7,,,,,,,,,,,,,,,,,I felt some sense of awe as I watched the screen filled with dots that quickly zoomed past me. It's a pretty relaxing viewing exercise. It felt like I was in motion but I was looking backward.,42,2,1,10,MLQ,Age|ReligiousScale|Psychedelic|Gender
2022-08-16 16:22:08,2022-08-16 16:27:31,0,173.75.248.157,100,323,1,2022-08-16 16:27:32,R_3LZsykKqVkn5w2T,,,,,39.904,-75.5089,anonymous,EN,189161377,,,,,,,,,,,,4,3,4,4,5,3,3,3,3,3,4,3,3,4,5,1|8|11|15|6|2|10|7|5|3|9|14|4|12|13,I didn't feel anything specific. I was just enjoying watching with no thoughts at all.,51,2,2,70,AweExperienceScale,ReligiousScale|Age|Gender|Psychedelic
2022-08-16 21:21:18,2022-08-16 21:25:49,0,185.196.24.84,100,270,1,2022-08-16 21:25:49,R_11hFpga8brJsTRo,,,,,33.4475,-112.0866,anonymous,EN,172340108,6,6,5,4,5,4,6,6,5,5,7|9|6|8|10|1|3|2|5|4,,,,,,,,,,,,,,,,,While visual task i feel myself relaxed form tenced mind and now i feel free,24,4,2,60,MLQ,Age|ReligiousScale|Gender|Psychedelic
2022-08-11 10:38:16,2022-08-11 10:41:30,0,174.28.179.12,89,194,0,2022-08-18 10:41:33,R_22YyeeS80OOx8Eo,,,,,,,anonymous,EN,136742031,,,,,,,,,,,,5,5,5,1,1,5,1,1,1,1,1,1,1,4,1,1|4|14|7|5|6|13|2|12|8|3|10|11|9|15,I felt an almost complete absence of feelings,60,2,1,50,AweExperienceScale,Psychedelic|Gender|Age|ReligiousScale
2022-08-11 11:17:58,2022-08-11 11:18:50,0,68.36.219.215,22,52,0,2022-08-18 11:18:57,R_1f0MSvLOHTGAmlz,,,,,,,anonymous,EN,193184048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MLQ,
2022-08-19 12:31:44,2022-08-19 12:42:32,0,8.9.82.16,100,648,1,2022-08-19 12:42:32,R_10uVEE4fnbLWPbV,,,,,43.1503,-77.5881,anonymous,EN,134862743,7,6,7,7,7,6,7,7,7,6,10|5|3|2|6|7|9|4|1|8,,,,,,,,,,,,,,,,,"It felt like flying in the air and falling from above
",61,2,2,100,MLQ,Age|Gender|ReligiousScale|Psychedelic
2022-08-19 12:58:04,2022-08-19 13:01:23,0,45.61.151.133,100,198,1,2022-08-19 13:01:23,R_2S1Qa5Azp3xh3JE,,,,,41.4951,-81.6939,anonymous,EN,131861263,,,,,,,,,,,,5,6,7,5,7,7,6,6,6,5,5,7,6,5,6,4|8|14|5|2|15|9|11|3|6|13|12|10|1|7,Bored,23,1,2,80,AweExperienceScale,Age|ReligiousScale|Psychedelic|Gender
2022-08-19 13:17:54,2022-08-19 13:19:05,0,72.28.225.53,100,71,1,2022-08-19 13:19:06,R_2f7DwDos6yX3Kml,,,,,33.5546,-81.721,anonymous,EN,168178656,5,5,5,5,5,5,5,4,2,5,3|9|8|5|1|4|6|7|10|2,,,,,,,,,,,,,,,,,I felt as if I were floating through space. I felt relaxed and meditative.,34,2,2,0,MLQ,Gender|ReligiousScale|Age|Psychedelic
2022-08-19 18:13:19,2022-08-19 18:16:37,0,68.103.170.223,100,197,1,2022-08-19 18:16:37,R_WrKgofhMZ72ovhD,,,,,37.0687,-97.031,anonymous,EN,178362539,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10|6|4|2|1|13|5|12|14|11|9|15|7|8|3,"I felt in a way, smaller than I usually appear to be. I felt the passage of time moving a bit more slowly than it usually does. I was going through what felt like space and stars. ",31,1,1,20,AweExperienceScale,Psychedelic|Age|Gender|ReligiousScale
2022-08-23 11:59:05,2022-08-23 12:03:32,0,173.195.15.109,100,266,1,2022-08-23 12:03:32,R_3s7a1mZt92j97rt,,,,,40.7597,-73.981,anonymous,EN,100616183,7,7,1,7,6,6,7,1,1,2,10|6|3|8|5|4|9|7|2|1,1,1,1,6,4,1,1,1,1,1,7,1,7,7,7,5|2|8|4|11|12|15|10|7|9|1|6|14|3|13,Intriguing,34,2,1,100,MLQ|AweExperienceScale,ReligiousScale|Gender|Psychedelic|Age
2022-08-23 12:00:58,2022-08-23 12:05:22,0,97.65.135.106,100,263,1,2022-08-23 12:05:22,R_1f2CaJBapmf9ySc,,,,,39.37,-76.6745,anonymous,EN,162236184,5,7,7,5,5,5,7,7,3,7,10|3|1|6|2|8|5|4|9|7,7,7,5,6,7,7,7,7,7,6,5,5,6,5,5,4|9|8|13|3|6|1|12|10|15|7|11|5|14|2,I become more aware of my surroundings and myself and how everything fit together. I felt like time slowed down to a point where I felt like it was barely moving.,30,2,1,100,MLQ|AweExperienceScale,Psychedelic|ReligiousScale|Age|Gender
2022-08-23 12:43:39,2022-08-23 12:52:24,0,208.195.173.106,100,524,1,2022-08-23 12:52:24,R_2SqW9pCpOVBTl50,,,,,38.7913,-77.2806,anonymous,EN,108873598,5,4,5,5,5,4,4,4,3,5,3|8|9|6|4|10|2|5|7|1,5,4,4,5,5,4,5,5,4,5,4,4,5,4,5,5|4|14|9|7|1|3|6|2|13|8|12|10|11|15,better,25,2,1,50,AweExperienceScale|MLQ,Psychedelic|Gender|ReligiousScale|Age
