StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Condition,ParticipantID,Consent,Modified-TAS_1,Modified-TAS_2,Modified-TAS_3,Modified-TAS_4,Modified-TAS_5,Modified-TAS_6,Modified-TAS_7,Modified-TAS_8,Modified-TAS_9,Modified-TAS_10,Modified-TAS_11,Modified-TAS_12,Modified-TAS_13,Modified-TAS_14,Modified-TAS_15,Modified-TAS_16,Modified-TAS_17,Modified-TAS_18,Modified-TAS_19,Modified-TAS_20,Modified-TAS_21,Modified-TAS_22,Modified-TAS_23,Modified-TAS_24,Modified-TAS_25,Modified-TAS_26,Modified-TAS_27,Modified-TAS_28,Modified-TAS_29,Modified-TAS_30,Modified-TAS_31,Modified-TAS_32,Modified-TAS_33,Modified-TAS_34,MLQ-Pre_1,MLQ-Pre_2,MLQ-Pre_3,MLQ-Pre_4,MLQ-Pre_5,MLQ-Pre_6,MLQ-Pre_7,MLQ-Pre_8,MLQ-Pre_9,WCS-Pre_1,WCS-Pre_2,WCS-Pre_3,WCS-Pre_4,WCS-Pre_5,WCS-Pre_6,WCS-Pre_7,WCS-Pre_8,WCS-Pre_9,WCS-Pre_10,WCS-Pre_11,WCS-Pre_12,WCS-Pre_13,WCS-Pre_14,WCS-Pre_15,WCS-Pre_16,WCS-Pre_17,WCS-Pre_18,WCS-Pre_19,WEMWBS-Pre_1,WEMWBS-Pre_2,WEMWBS-Pre_3,WEMWBS-Pre_4,WEMWBS-Pre_5,WEMWBS-Pre_6,WEMWBS-Pre_7,WEMWBS-Pre_8,WEMWBS-Pre_9,WEMWBS-Pre_10,WEMWBS-Pre_11,WEMWBS-Pre_12,WEMWBS-Pre_13,WEMWBS-Pre_14,FlourishingScale-Pre_1,FlourishingScale-Pre_2,FlourishingScale-Pre_3,FlourishingScale-Pre_4,FlourishingScale-Pre_5,FlourishingScale-Pre_6,FlourishingScale-Pre_7,FlourishingScale-Pre_8,PHQ-Pre_1,PHQ-Pre_2,PHQ-Pre_3,PHQ-Pre_4,PHQ-Pre_5,PHQ-Pre_6,PHQ-Pre_7,PHQ-Pre_8,PHQ-Pre_9,STAI-Pre_1,STAI-Pre_2,STAI-Pre_3,STAI-Pre_4,STAI-Pre_5,STAI-Pre_6,STAI-Pre_7,STAI-Pre_8,STAI-Pre_9,STAI-Pre_10,STAI-Pre_11,STAI-Pre_12,STAI-Pre_13,STAI-Pre_14,STAI-Pre_15,STAI-Pre_16,STAI-Pre_17,STAI-Pre_18,STAI-Pre_19,STAI-Pre_20,STAI-Pre_21,STAI-Pre_22,STAI-Pre_23,DAT-Pre_4,DAT-Pre_5,DAT-Pre_6,DAT-Pre_7,DAT-Pre_8,DAT-Pre_9,DAT-Pre_10,DAT-Pre_11,DAT-Pre_12,DAT-Pre_13,DAT-Pre-Timing_First Click,DAT-Pre-Timing_Last Click,DAT-Pre-Timing_Page Submit,DAT-Pre-Timing_Click Count,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,VMM-1,VMM-2,VMM-3,VMM-4,VMM-5,VMM-6,VMM-7,VMM-Timing_First Click,VMM-Timing_Last Click,VMM-Timing_Page Submit,VMM-Timing_Click Count,VMM-Questions_1,VMM-Questions_5,WCS-Post_1,WCS-Post_2,WCS-Post_3,WCS-Post_4,WCS-Post_5,WCS-Post_6,WCS-Post_7,WCS-Post_8,WCS-Post_9,WCS-Post_10,WCS-Post_11,WCS-Post_12,WCS-Post_13,WCS-Post_14,WCS-Post_15,WCS-Post_16,WCS-Post_17,WCS-Post_18,WCS-Post_19,MLQ-Post_1,MLQ-Post_2,MLQ-Post_3,MLQ-Post_4,MLQ-Post_5,MLQ-Post_6,MLQ-Post_7,MLQ-Post_8,MLQ-Post_9,VAS_Bowdle-Post_1,VAS_Bowdle-Post_2,VAS_Bowdle-Post_3,VAS_Bowdle-Post_4,VAS_Bowdle-Post_5,VAS_Bowdle-Post_6,VAS_Bowdle-Post_7,VAS_Bowdle-Post_8,VAS_Bowdle-Post_9,VAS_Bowdle-Post_10,VAS_Bowdle-Post_11,VAS_Bowdle-Post_12,EDI_1,EDI_2,EDI_3,EDI_4,EDI_5,EDI_6,EDI_7,EDI_8,ASC_Short_1,ASC_Short_2,ASC_Short_3,ASC_Short_4,ASC_Short_5,ASC_Short_6,ASC_Short_7,ASC_Short_8,ASC_Short_9,ASC_Short_10,ASC_Short_11,Trance_1,Trance_2,Trance_3,Qualitative,STAI-Post_1,STAI-Post_2,STAI-Post_3,STAI-Post_4,STAI-Post_5,STAI-Post_6,STAI-Post_7,STAI-Post_8,STAI-Post_9,STAI-Post_10,STAI-Post_11,STAI-Post_12,STAI-Post_13,STAI-Post_14,STAI-Post_15,STAI-Post_16,STAI-Post_17,STAI-Post_18,STAI-Post_19,STAI-Post_20,STAI-Post_21,STAI-Post_22,STAI-Post_23,DAT-Post_4,DAT-Post_5,DAT-Post_6,DAT-Post_7,DAT-Post_8,DAT-Post_9,DAT-Post_10,DAT-Post_11,DAT-Post_12,DAT-Post_13,DAT-Post-Timing_First Click,DAT-Post-Timing_Last Click,DAT-Post-Timing_Page Submit,DAT-Post-Timing_Click Count,Age,Gender,Psychedelic,Dissociative,PreviousVR,ReligiousScale_7,Nausea_1
4/5/24 16:15,4/5/24 17:27,0,169.236.169.82,100,4302,1,4/5/24 17:27,R_1uEcLCHLTy8ioM1,,,,,37.3257,-120.4999,anonymous,EN,2,84412,4,3,3,4,3,4,4,3,4,5,3,5,4,4,5,4,4,3,5,3,5,2,3,4,4,3,3,3,2,2,3,1,4,2,5,5,7,7,2,5,3,6,5,7,7,5,5,6,6,5,7,6,5,5,6,3,5,5,7,5,3,6,7,5,3,3,3,2,3,2,4,3,5,2,3,3,4,5,4,5,4,5,5,6,5,2,2,3,3,2,1,3,2,1,4,3,2,1,3,1,2,4,1,1,3,2,1,2,4,4,2,1,3,3,1,3,1,zen,dark,colors,pet,homework,music,yoga,library ,research,friends,26.9,82.084,82.087,12,166.138,1496.662,1496.664,3,"playful, rising up, going with the flow, fun, messy","yellow circle on top looks like sun, mixing of group, two different groups coming together, chaotic ","running of paint, circles, mountains","swan, mixing of colors are going around, some lines align perfectly while others break apart into circles or slide down. ","circles, waves, splashes, running water ","power, evil?, leaves, women, patterns, looks symmetrical, more organized than the other images  ","paintings, oil, water color, water drops into water, leaves, cells",2.694,451.199,451.202,14,5,5.5,2,5,5,3,5,5,6,2,5,5,5,3,2,5,5,3,5,6,6,3,6,4,5,5,3,6,5,5,1,2,2,2,1,1,2,2,2,2,2,2,3,0,1,5,5,20,0,10,0,2,20,5,10,3,30,10,10,15,0,9,10,1,"felt like I had enter another world or into the future, a little lonely because no humans were around, focused on exploring ",2,2,2,1,1,1,1,3,1,1,3,1,2,2,2,3,3,1,2,2,1,1,2,work,dancing ,video games ,family,colors,trucks ,research ,professors ,friends ,future ,1.735,73.357,73.36,13,22,2,1,1,2,85,10
4/9/24 15:07,4/9/24 16:06,0,169.236.169.82,100,3485,1,4/9/24 16:06,R_2VfNPfW0bKZ0aVr,,,,,37.3257,-120.4999,anonymous,EN,1,81772,4,5,4,5,5,5,4,5,2,5,2,4,5,3,5,5,5,5,3,4,5,4,4,5,5,3,2,2,4,2,5,1,4,3,5,4,7,7,5,5,5,7,7,7,1,7,7,7,5,7,7,5,5,5,7,5,3,5,7,4,5,7,7,5,4,3,5,2,3,2,3,4,4,5,3,4,4,5,5,2,3,6,7,6,5,2,3,4,2,3,4,4,3,1,2,2,4,3,2,3,3,2,1,1,2,3,3,2,2,3,2,2,2,2,2,3,3,liberal,conservative,transgender,church,religion,progress,liberation,capitalism,security,equity,7.363,73.711,73.713,17,208.361,1898.576,1898.582,4,"It's a tree made from colors, although the liquid is rising from the ground to form it.",The setting suns casts its light on turbulent seas. ,"There's a couple embracing in the top left quarter, almost as if they are taking shelter from the carnage.","It's like a floating island or chunk of earth, emerging from the ground. The strings of black are like water.","I see a clashing of two worlds, almost like the areas of void and light. There is a lot of conflict, as the void seems to be overtaking the light. ","I see a face in the top. This is a goddess of nature, though it looks like she's upset at me.",This reminds me of the microscopic view of plant cells and chlorophyll. Almost like organs. ,17.994,269.468,269.472,12,2,8,3,3,5,2,5,5,3,5,3,2,5,4,6,4,12,5,6,4,6,4,5,5,4,7,4,5,5,5,3,5,5,5,1,5,5,5,2,4,1,4,5,100,100,10,20,5,0,0,75,100,80,100,5,60,10,75,40,100,100,10,4,5,"If this is what psychedelics are like, I might be willing to try them lol. It was amazing, somehow I was smiling at nothing. I had no idea time was passing, I was just there in the moment, enjoying the music that reminded me of the Dune movie score. I also felt like I was either falling or moving sideways, depending on my current thoughts. I felt fear from the black outside of the circle I was heading towards. ",4,2,2,2,4,1,2,3,1,3,2,2,1,1,4,3,2,2,3,4,2,3,1,light,dark,progress,conservatism,chaos,order,acceptance,change,growth,stagnation,2.155,60.989,60.991,12,19,2,2,2,3,40,25
4/9/24 16:08,4/9/24 17:46,0,169.236.169.82,100,5846,1,4/9/24 17:46,R_27lhmlk69uMxm9R,,,,,37.3257,-120.4999,anonymous,EN,2,80797,4,3,4,3,4,2,4,2,1,3,1,4,4,3,2,1,3,1,4,3,3,4,4,3,3,3,5,3,3,3,3,2,3,4,3,5,5,5,6,5,5,5,6,6,6,7,5,6,3,3,6,3,6,5,5,3,5,5,5,5,5,6,6,4,3,2,2,3,4,4,3,2,4,3,3,5,3,6,5,5,7,6,6,6,6,1,2,3,3,2,1,2,1,1,3,3,2,3,4,1,2,3,1,1,3,2,2,2,3,3,2,2,2,3,1,3,1,car,watch,water,lemon,ice,building,hammer,pencil,blue,coffee,49.465,166.649,166.652,12,222.794,1623.227,1623.229,5,slime with green/ flowers with the color yellow/ blood with the red color,dragon/snake/circles of oil when it comes in contact with water,steep mountain/ meteor hitting the surface/ debris ,water splashing down the side of a mountain,string ray floating in the ocean or aquarium,hawk's face swooping down/ a leaf growing as the green light tissue is expanding ,insects/ chlorophyll from photosynthesis ,4.963,467.839,467.842,14,4,8,5,6,6,6,3,3,6,3,6,5,5,3,3,6,6,5,6,6,6,5,5,5,6,6,5,6,6,5,1,3,3,4,1,3,4,4,1,1,2,2,40,46,20,92,40,85,40,70,5,5,30,60,40,90,90,95,10,100,10,10,9,1,I felt like there needed something to be done since I heard noises. I felt there was a need for me to look for someone or something to tell me what to do. I felt useless as the robots were doing all the jobs and I just explored the environment. I felt as if there was no purpose in me being there. I felt lost. ,4,4,1,3,2,1,1,3,1,1,3,2,2,3,3,3,2,2,3,2,1,4,2,orange,wheel,math,sun,rock,insect,life,water,bird,flower,2.865,160.568,160.57,14,22,1,2,2,2,70,44
4/10/24 12:16,4/10/24 13:26,0,169.236.169.82,100,4194,1,4/10/24 13:26,R_57lrAgp8iyQ3vzU,,,,,37.3257,-120.4999,anonymous,EN,2,78778,4,2,5,4,3,1,5,5,2,1,1,3,5,1,1,4,3,3,5,3,4,3,3,3,3,3,2,1,2,5,5,3,3,1,1,1,7,7,4,4,3,7,7,7,7,7,7,7,7,4,7,6,5,4,5,5,7,4,5,4,5,4,5,3,2,3,3,2,3,3,2,2,3,2,1,4,3,4,4,5,6,5,5,4,5,2,2,4,2,4,4,4,4,1,3,2,3,3,2,1,1,1,1,1,3,4,2,3,2,2,1,3,3,2,1,2,1,fire,water,Dirt,air,cat,sock,leaf,keyboard,blanket,chair,45.43,162.306,162.309,13,205.842,1562.792,1562.794,3,floating platforms. like in video games ,"the sun over the grad canyon, two people upside down and kissing","If I lean my head slightly to the right, I can see a duck face",feathers ,the bottom part looks like its part of a dress and the top part looks like a lava lamp,a dragon's face ,"a pea pod, a bird ",17.089,370.867,370.87,16,5.7,5,12,12,12,12,12,5,12,12,5,4,5,5,12,3,6,3,5,4,5,4,7,7,4,3,1,7,7,7,2,5,5,1,1,1,4,1,1,1,4,1,10,10,10,10,10,100,10,10,10,0,50,0,0,11,20,0,0,0,0,10,6,2,oddly calm ,4,3,3,3,2,1,1,3,1,1,2,1,1,1,4,3,1,2,2,2,1,3,1,rock,book,lock,fan,pen,lava,body,ice,girl,,3.204,178.266,180.022,19,20,2,1,2,2,8,0
4/10/24 13:26,4/10/24 14:36,0,169.236.169.82,100,4206,1,4/10/24 14:36,R_5e9VSgZaV1dEVuG,,,,,37.3257,-120.4999,anonymous,EN,1,86797,4,3,1,3,4,1,5,1,1,1,1,1,5,1,1,2,2,4,3,2,5,3,3,2,1,2,3,2,3,3,1,1,3,2,5,2,7,4,2,1,1,7,7,7,4,7,4,4,4,4,5,3,6,4,4,1,4,2,4,4,5,5,7,3,3,2,2,1,4,2,4,4,4,4,4,3,3,4,6,5,6,4,5,4,6,2,2,4,3,4,2,2,1,1,3,3,4,3,2,2,1,2,3,1,3,4,1,4,2,2,3,1,2,2,2,2,1,pen,book,sleep,water,movies,finger,shoes,sun,food,nose,21.258,128.848,128.851,16,226.928,1728.563,1728.581,3,Positive energy,Life and death go had in hand,Two arms crossing over eachother.,Fallen hero,A collapsed world,A monster/demon of some sort.,I see a person facing something un-explainable.,4.833,149.544,149.549,9,4,7,5,6,6,12,5,4,6,4,5,4,4,3,4,4,4,6,4,12,6,3,4,6,1,5,4,6,5,6,3,5,4,4,2,5,5,1,1,3,4,3,50,1,4,20,0,100,30,50,10,70,40,0,31,,,12,60,0,1,7,6,8,It was interesteing and different from what I was expecting. ,2,2,3,2,2,1,1,1,3,1,1,3,3,2,2,2,3,4,2,1,1,2,1,color,space,time,reality,dark,speed,light,black,eye,sleep,2.471,63.284,63.286,13,19,2,2,2,2,50,15
4/10/24 14:36,4/10/24 15:59,0,169.236.169.82,100,5006,1,4/10/24 15:59,R_5UNe0QKKZ4lHgv7,,,,,37.3257,-120.4999,anonymous,EN,2,82423,4,5,5,5,5,2,3,4,3,3,3,3,5,4,4,2,3,5,5,5,5,5,5,5,1,4,5,4,4,5,5,4,4,4,2,5,7,6,4,4,6,7,6,7,7,7,5,7,6,5,7,5,6,5,4,6,5,3,3,3,5,6,7,2,2,3,2,2,3,3,3,3,3,2,3,4,3,5,5,3,5,5,5,3,3,2,2,4,1,2,1,2,1,1,3,3,4,3,2,1,4,3,1,1,2,1,3,4,3,4,2,3,2,3,2,3,4,pencil,car,hat,dog,cat,hamster,school,babysitter,dorm,house,5.629,112.467,112.469,13,168.273,1490.838,1490.84,4,looks like melted crayola crayons,I see a face with its mouth opened. and a sun.,I see an older man with facial hair looking up. Possibly this older man is sad or he is grieving someone because he looking up.,"the idea that I get is distress, and sadness.",Looks like like the back of someone's head. They are probably facing their back against someone.,I see a heart. I see a scary face in between heart. The idea that I'm getting is as to how love can be dangerous. Especially as to how green can be labeled to present as scary or dangerous.,looks like a mosquito. There is green and black so I'm imagining how they are dangerous. When I think of green with black I think of poison. Which align with as to how mosquitos are poisonous to humans.,46.743,695.784,695.787,22,4.5,2.5,12,12,5,6,12,5,12,5,5,3,3,6,6,4,3,3,4,4,6,3,7,6,2,5,4,6,7,6,5,5,5,4,5,4,5,4,1,1,1,2,2,2,2,1,10,70,1,9,0,0,1,0,95,98,81,99,1,100,1,7,9,0,"I I felt mostly confused. I wasn't sure where exactly I should ""walk"" to or what exactly the factory was making.",3,4,1,1,2,1,1,3,1,1,3,1,3,3,4,3,1,4,2,2,1,2,1,Cat,Hamster,Factory,Restroom,Shower,Trashcan,Teacher,Truck,Train,Box,2.186,100.63,100.633,14,19,2,2,1,3,0,35
4/10/24 16:03,4/10/24 16:57,0,169.236.169.82,100,3238,1,4/10/24 16:57,R_2hhH9pSht0MSZtp,,,,,37.3257,-120.4999,anonymous,EN,1,78304,4,1,2,4,3,1,3,3,3,3,2,2,4,1,2,2,4,2,4,2,3,4,4,3,1,2,2,2,2,2,2,1,3,2,4,3,5,5,7,5,5,7,5,7,2,5,5,5,5,5,6,3,5,5,4,3,2,5,6,5,2,6,4,4,4,2,1,4,2,4,4,3,3,3,5,4,5,6,6,6,6,6,6,6,6,1,1,1,1,3,1,2,2,1,4,4,1,1,1,1,2,3,1,1,3,2,2,2,3,3,3,3,3,3,1,3,2,car,watch,pencil,cat,car,dog,policeman,brother,book,boy,11.783,98.519,98.522,11,2.073,1505.432,1505.44,5,paint spilled,"circles, the grand canyon ","circle, mountains, trees, and rainfall","waves crashing, circles, water","whales, planets, sea and ocean","a tree, ovals ",circles and paint,4.041,184.693,184.696,12,1.2,6,5,5,5,4,4,5,5,3,6,5,3,1,3,5,6,5,3,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,4,2,5,2,11,95,2,6,3,98,2,29,11,49,4,71,5,61,8,95,2,81,99,10,9,6,"I felt disconnected from everything else, I forgot I was here at school.",2,2,2,1,2,1,2,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,2,tree,paint,circles,sun,moon,butterfly,flower,grass,star,triangle,1.511,75.169,75.172,11,21,2,2,2,2,100,70
4/11/24 15:07,4/11/24 15:55,0,169.236.169.82,100,2904,1,4/11/24 15:55,R_5ILhljIo44v4moC,,,,,37.3257,-120.4999,anonymous,EN,2,85201,4,4,5,4,4,3,4,4,2,4,3,4,4,3,4,2,3,3,4,3,3,4,2,4,2,5,4,2,3,3,2,4,4,2,4,2,7,7,2,2,7,6,7,7,4,4,6,6,6,3,5,7,5,3,3,7,4,3,6,7,5,6,7,4,1,3,4,3,3,3,2,2,2,2,3,4,4,3,3,4,6,2,4,5,2,3,3,2,2,3,2,3,2,1,2,1,3,3,1,4,2,1,3,3,2,3,2,3,2,2,3,4,2,2,3,3,3,cheese,Apple,Pho,Pyramid,Road,Banana,Rhino,Cup,Book,Supercalifragilisticexpialidocious,10.106,146.106,146.109,21,1.706,1226.14,1226.142,4,Chapotle in someones dreams,This looks like the Sahara desert ,Cruella turned into a abstract being,A dementor from Harry Potter,Spilled milk that someone mixed with pen ink,Piece of lettuce after caterpillar attack,Mountain dew thats been spilled on the carpet,3.594,234.832,234.835,20,6.4,7.5,3,5,5,5,6,5,5,12,5,3,5,12,5,2,6,12,4,4,6,2,6,7,2,5,3,4,7,6,3,4,4,3,4,3,2,3,2,2,3,4,34,30,40,32,27,69,20,37,74,28,21,26,55,21,74,86,73,66,38,8,7,8,It felt good learning how to move around and eventually teleporting around. The only issue I had was that I felt there needed to be a task for me to do something to make the exploration worth it. ,3,2,3,3,2,4,2,1,3,2,2,3,3,3,2,2,3,4,2,2,3,3,3,Chair,Sandwich,Shoes,sword,statue,keyboard,potato,chip,fashion catalog,Orion,2.17,122.49,122.492,21,21,1,2,2,2,51,20
4/11/24 15:58,4/11/24 17:05,0,169.236.169.82,100,4044,1,4/11/24 17:05,R_1ASWuFZsMct8Jyz,,,,,37.3257,-120.4999,anonymous,EN,1,85819,4,2,3,2,3,3,3,3,1,1,3,2,3,1,2,1,1,3,2,3,5,3,3,3,2,3,3,5,4,2,1,2,5,3,3,6,7,7,7,7,7,7,6,6,6,6,7,6,3,6,7,5,5,3,3,5,5,7,5,1,2,7,7,3,3,4,3,3,3,3,3,3,4,3,2,3,3,6,5,5,5,6,5,6,5,2,2,1,1,3,1,2,1,2,4,4,1,1,4,2,2,3,1,1,3,1,2,2,4,3,2,2,3,4,2,3,1,truck,melody,fiduciary,peace,concomittance,success,lawnmower,doorstop,railgun,hazard,2.202,79.617,79.619,14,167.4,1500.283,1500.294,3,ideas flowing out of the floor,"nothing really, avant garde abstract black and yellow",dark mountains/hills and shadow,Crows feathers canvased,mold spores,green praying mantis queen alien,Lava lamp spinach,5.926,219.93,219.933,11,7.7,4.2,5,6,6,6,3,6,6,5,3,2,4,3,2,12,6,1,3,12,12,6,7,7,7,7,7,7,6,7,2,2,4,3,2,4,3,1,1,2,4,2,2,10,4,1,1,29,1,11,2,1,50,5,43,9,14,28,31,80,10,10,8,0,I felt like I was transported into an interstellar music video. It was enough to make me briefly fall asleep at the very end until the birds woke me up.,4,4,1,1,4,1,1,4,1,1,4,1,1,1,4,4,1,1,4,4,1,4,1,button,moose,trigger,trash,species,regimen,camera,distortion,enigma,sequence,1.835,61.913,61.915,6,26,1,2,1,1,0,10
4/12/24 9:32,4/12/24 11:18,0,169.236.169.82,100,6319,1,4/12/24 11:18,R_1O1twRGrYOr8rl1,,,,,37.3257,-120.4999,anonymous,EN,2,79834,4,3,4,3,3,1,4,3,3,2,1,2,3,5,2,4,3,4,2,3,3,3,2,5,4,5,4,2,2,2,4,2,5,2,3,4,7,4,4,5,3,5,4,4,4,7,5,7,6,6,6,2,7,6,5,4,1,5,7,5,4,5,7,4,4,4,3,3,4,3,3,3,3,4,4,3,3,6,5,4,5,7,7,6,5,3,2,2,2,2,2,3,2,1,3,3,2,1,3,2,2,1,1,1,3,2,2,2,2,3,1,1,3,2,1,3,1,rhubarb,lye,gash,cross,fingernail,tile,dent,basket,mechanic,poster,12.853,133.467,133.469,11,111.712,1181.247,1181.248,4,Blobs of dripping paint; honestly gives logo,"maybe a canyon, with the sun above",mountain ridges with something like the Northern Lights above,"feathers, wings, maybe a seagull flying",whale bursting out of rushing waves,"one of those psychological ""blob-what do you see"" images; it mirrors itself so it reminds me of a face",Plants being grown in a tube. All the finer lines are the lines on the leaves,3.447,272.617,272.62,8,1,0.5,2,12,6,12,12,6,12,2,12,6,6,3,1,5,12,6,4,6,12,4,7,3,4,7,3,5,5,6,3,3,2,3,1,1,4,1,1,2,2,2,0,0,0,10,0,50,30,10,0,0,0,0,20,10,40,90,50,30,5,9,9,0,"It was eerie and cold. The dummies made me uneasy. The changing volume of sounds, and that they were so grating, was distressing. I'm usually quite scared of heights, but felt the urge to go higher in the room out of boredom. It felt like something was supposed to happen, like something might go wrong the whole time. and I felt quite vulnerable, but as time went on I felt more comfortable. ",4,3,1,1,3,1,1,1,1,1,3,1,2,1,3,3,1,1,4,3,1,4,1,wand,chihuahua,lipstick,vomit,tree,knuckle,wrench,wine,song,beaker,9.136,139.254,139.256,22,20,2,1,1,2,35,0
4/12/24 15:03,4/12/24 16:11,0,169.236.169.82,100,4079,1,4/12/24 16:11,R_2q0BB2thTxMgOcN,,,,,37.3257,-120.4999,anonymous,EN,1,83614,4,5,2,5,4,2,3,3,4,2,1,1,4,3,2,4,2,2,5,4,4,4,2,2,1,2,2,2,3,4,4,2,2,2,2,1,6,7,3,2,1,6,7,7,6,3,6,3,5,3,7,5,3,2,2,3,6,1,3,1,5,6,5,1,2,2,4,5,3,3,3,1,2,4,3,1,2,1,5,5,2,7,3,2,4,2,2,3,1,2,2,3,1,1,4,3,1,1,2,1,1,3,1,1,2,2,1,1,3,3,1,1,3,4,1,2,1,BALL,NEST,COMPUTER,BED ,SOFA,PAN,CLEATS,DESK,CHAIR,TREE,28.54,158.667,158.669,11,141.607,1465.413,1465.42,3,"I see shapes of heads, one with a brain or an idea inside his head and another that looks like it is about to eat something. ",I just see a shape of a bird and the sun in the background. ,"I do not really see anything here, but it gives off creepy vibes.. ","I just see shapes, like a couple of dementors.",I just get a sense that I am seeing something'd destroy either a buildingI just see shapes like the demonters from harry potter. or a ship at the sea. ,"I see demon shapes. or faces that have multiple eyes and that have a grin. I also see a creature with four eyes, looks like it has some horns.",What I see are are just shapes that resemble faces or animals,10.823,571.631,571.635,81,5.8,3.7,3,5,5,5,5,5,6,6,5,2,5,5,5,1,3,1,2,5,6,1,6,7,2,2,1,6,7,7,4,2,2,2,2,2,4,1,1,1,1,1,10,40,10,10,10,70,21,40,20,10,21,10,10,10,60,11,10,30,10,9,8,0,"It felt weird at first but with the sounds playing it made me feel more comfortable and it also caused me to start mind wandering more throughout the experience felt great, I did feel for a couple of moments that I was in a different world, that meaning I forgot about the real world for a couple of seconds. ",4,3,1,1,3,1,1,3,1,1,1,1,1,1,3,2,1,1,2,3,1,2,3,ship,ball,net ,car,shoes,socks ,tree,pen,charger,phone,13.34,93.45,93.452,11,20,1,2,1,2,10,
4/12/24 16:12,4/12/24 17:28,0,169.236.169.82,100,4545,1,4/12/24 17:28,R_3dFVQ2fyUyGf02O,,,,,37.3257,-120.4999,anonymous,EN,2,81733,4,2,2,2,4,1,5,4,2,2,1,2,3,1,2,3,2,3,4,3,2,1,2,2,1,4,3,2,2,4,3,3,5,2,3,5,6,6,5,5,5,4,6,4,1,7,7,6,5,7,7,1,7,6,4,2,2,4,7,4,5,5,5,3,4,4,3,3,2,4,4,3,4,5,5,4,3,4,6,6,5,6,6,6,6,2,1,2,2,2,2,1,2,1,4,4,1,1,4,1,1,4,1,1,4,1,1,2,4,4,1,1,3,4,1,4,1,Blueberry,Basketball,Island,Clock,Dog,Box,,,,,36.694,175.667,180.012,7,132.532,1226.47,1226.472,5,It reminds me of Picasso's art style ,"It reminds me of Bumblebee from Transformers, when he doesn't have a voice ","It reminds me of a dark, cloudy and rainy day by the countryside","It reminded me of The Black Swan, due to the color and looking a bit elegant ",It almost looks like some planets that are being destroyed by something bigger than those planets ,"Some of the shaping makes me think of owls, looking straight at you",This reminds me of what we might see in a plant if we were to zoom in. It also sort of reminds me of photosynthesis as well as the Tree of Life.  ,23.17,420.039,420.042,13,10,2,2,12,12,6,6,12,12,1,12,6,5,1,1,5,6,4,4,6,6,5,5,5,5,5,4,3,5,4,3,5,5,2,1,2,5,2,1,1,1,2,36,50,22,71,79,80,80,61,4,0,5,10,,41,100,19,49,50,,10,10,0,I felt like I was an explorer just looking around somewhere I was probably not meant to be since I didn't have the proper gear to be in such an environment.,4,4,2,1,4,1,1,4,2,1,4,2,1,1,4,4,1,1,4,4,1,4,1,Party,Jewelry,Comets,Darkness,Shirt,Medicine,Printer,Cheese,Technology,Train,1.654,143.439,143.442,16,21,2,2,2,2,55,
4/12/24 11:21,4/12/24 11:40,0,169.236.169.82,25,1149,0,4/13/24 11:40,R_39pq8xz5LqfYj5K,,,,,,,anonymous,EN,1,81262,4,4,1,5,3,1,5,3,1,3,1,3,5,2,5,4,2,3,4,5,3,2,4,3,3,3,5,2,2,2,3,4,4,2,3,7,7,7,7,7,7,7,7,3,4,4,7,6,7,6,7,2,7,4,4,5,4,7,5,7,4,4,4,4,4,2,4,2,3,4,3,4,3,4,3,5,2,7,7,6,6,7,6,7,7,1,2,3,2,2,2,2,1,1,2,3,2,2,3,2,3,3,4,1,3,4,1,1,2,2,4,1,2,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
